Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,7800.240234,8176.080078,7777.089844,8095.390137,8095.390137,43553400000
2019-05-01,8132.930176,8164.709961,7448.229980,7453.149902,7453.149902,47822630000
2019-06-01,7441.209961,8088.879883,7292.220215,8006.240234,8006.240234,44821400000
2019-07-01,8145.850098,8339.639648,8059.290039,8175.419922,8175.419922,42846360000
2019-08-01,8190.560059,8311.040039,7662.899902,7962.879883,7962.879883,46323300000
2019-09-01,7906.439941,8243.799805,7847.319824,7999.339844,7999.339844,41720490000
2019-10-01,8026.830078,8335.559570,7700.000000,8292.360352,8292.360352,44203530000
2019-11-01,8335.049805,8705.910156,8326.559570,8665.469727,8665.469727,41773310000
2019-12-01,8672.839844,9052.000000,8435.400391,8972.599609,8972.599609,46214040000
2020-01-01,9039.459961,9451.429688,8943.500000,9150.940430,9150.940430,52694760000
2020-02-01,9190.719727,9838.370117,8264.160156,8567.370117,8567.370117,53886320000
2020-03-01,8667.139648,9070.320313,6631.419922,7700.100098,7700.100098,97320230000
2020-04-01,7459.500000,8957.269531,7288.109863,8889.549805,8889.549805,79171670000
2020-05-01,8681.290039,9523.639648,8537.830078,9489.870117,9489.870117,81175640000
2020-06-01,9471.419922,10221.849609,9403.000000,10058.769531,10058.769531,112284350000
2020-07-01,10063.669922,10839.929688,10048.040039,10745.269531,10745.269531,95054280000
2020-08-01,10848.639648,11829.839844,10762.709961,11775.459961,11775.459961,78996130000
2020-09-01,11850.959961,12074.059570,10519.490234,11167.509766,11167.509766,82496920000
2020-10-01,11291.990234,11965.540039,10822.570313,10911.589844,10911.589844,78287400000
2020-11-01,11010.450195,12244.650391,10830.950195,12198.740234,12198.740234,91282630000
2020-12-01,12313.360352,12973.330078,12214.740234,12888.280273,12888.280273,112635010000
2021-01-01,12958.519531,13728.980469,12543.240234,13070.690430,13070.690430,139796850000
2021-02-01,13226.179688,14175.120117,13003.980469,13192.349609,13192.349609,142926770000
2021-03-01,13406.160156,13620.709961,12397.049805,13246.870117,13246.870117,134201470000
2021-04-01,13414.320313,14211.570313,13404.179688,13962.679688,13962.679688,91591470000
2021-05-01,14031.769531,14042.120117,13002.540039,13748.740234,13748.740234,89415440000
2021-06-01,13829.059570,14535.969727,13548.929688,14503.950195,14503.950195,108377000000
2021-07-01,14493.690430,14863.650391,14178.660156,14672.679688,14672.679688,88708530000
2021-08-01,14758.599609,15288.080078,14423.160156,15259.240234,15259.240234,88083480000
2021-09-01,15308.980469,15403.440430,14444.299805,14448.580078,14448.580078,95275100000
2021-10-01,14494.929688,15504.120117,14181.690430,15498.389648,15498.389648,99492020000
2021-11-01,15541.259766,16212.230469,15451.389648,15537.690430,15537.690430,109314860000
2021-12-01,15752.269531,15901.469727,14860.040039,15644.969727,15644.969727,104264460000
2022-01-01,15732.500000,15852.139648,13094.650391,14239.879883,14239.879883,100106820000
2022-02-01,14277.429688,14509.559570,12587.879883,13751.400391,13751.400391,89543300000
2022-03-01,13716.700195,14646.900391,12555.349609,14220.519531,14220.519531,131081330000
2022-04-01,14269.530273,14534.379883,12315.740234,12334.639648,12334.639648,96581010000
2022-05-01,12331.690430,12985.009766,11035.690430,12081.389648,12081.389648,111465680000
2022-06-01,12176.889648,12320.120117,10565.139648,11028.740234,11028.740234,113875890000
2022-07-01,11006.830078,12426.259766,10911.450195,12390.690430,12390.690430,94293720000
2022-08-01,12317.959961,13181.089844,11790.019531,11816.200195,11816.200195,110367680000
2022-09-01,11707.440430,12270.190430,10572.330078,10575.620117,10575.620117,98888530000
2022-10-01,10659.009766,11230.440430,10088.830078,10988.150391,10988.150391,98292380000
2022-11-01,11154.740234,11492.620117,10262.929688,11468.000000,11468.000000,101572370000
2022-12-01,11475.169922,11571.639648,10207.469727,10466.480469,10466.480469,100007430000
